finding_id,severity,category,sheet,excel_row,code,field,current_value,related_codes
CAT-2025-0011,ERROR,BROKEN_CHARACTER_ENCODING,Information Products,658,IP-1599,Description,"An advanced report provides a complete report on the simulated treatments and evacuations of casualties and the final outcomes for the casualties. includes:
â€¢ Casualty Outcomes (Disposition (Return to Duty, Death, Strategic Evacuation); Timeline Complian",
CAT-2025-0012,ERROR,BROKEN_CHARACTER_ENCODING,Information Products,921,IP-1904,Description,"The Search and Rescue (SAR) Situation Report is used to summarize search and rescue operations.

It provides updated information or status of an isolating event or recovery effort.  When an incident continues for an extended period of time with no resolution or change in situation, the report will be generated every 30 days. A final situation report closes an isolating incident.

The SAR Situation Report will normally contain the following information:
* PR mission information;
* Status (e.g., in progress, completed, on hold);
* Call sign of disabled vehicle, aircraft, ship, etc;
* Type of disabled craft;
* Location of the isolating incident;
* Number of personnel involved;
* Status of personnel involved (e.g., recovered, located, missing);
* Narrative â€” short explanation to enhance information.",
CAT-2025-0013,ERROR,BROKEN_CHARACTER_ENCODING,Information Products,968,IP-1296,Description,"SACEUR's Strategic Assessment (SSA) is the initial NATO decisions to get engaged and to commit forces to the crisis area will rest. The SSA will also serve as the basic â€œknowledgeâ€ document upon which the subordinate commanders will also base their strategic appreciation and operational assessment. Knowledge development products, including systems summaries, can be used to support the development of SSA. The SSA will normally be issued as a separate document concluding with strategic approaches (broad choices for engagement). These alternatives should provide the NAC with the necessary background to then seek SACEUR advice on more specific and detailed MROs.",
CAT-2025-0014,ERROR,BROKEN_CHARACTER_ENCODING,Information Products,1048,IP-1584,Description,A transportation network encompasses route information and is required to calculate the time medical evacuation assets will take to move casualties from one location to another; â€˜notional' routes (based on great circle calculation or similar and not accou,
CAT-2025-0015,ERROR,BROKEN_CHARACTER_ENCODING,Information Products,1051,IP-1627,Description,"A digital record containing information on the medical treatment provided to an individual patient at a specific MTF. Attributes include:
â€¢ Patient Identifier
â€¢ Medical Care Information (including MTF Information)",
CAT-2025-0016,ERROR,BROKEN_CHARACTER_ENCODING,Information Products,1052,IP-1778,Description,"This information reflects the assessment done by a TCN.
*â€œKey Questions Formâ€
*â€œSkill Set Formâ€
*Accompanying documentation/references from nations supporting medical evaluation (e.g., SOPs, manning table, equipment table)",
CAT-2025-0017,ERROR,CONFIRMED_TYPO,Information Products,27,IP-2145,Description,andfunctions,
CAT-2025-0018,ERROR,CONFIRMED_TYPO,Information Products,28,IP-2175,Description,infomration,
CAT-2025-0019,ERROR,CONFIRMED_TYPO,Information Products,112,IP-2144,Description,andfunctions,
CAT-2025-0020,ERROR,CONFIRMED_TYPO,Information Products,113,IP-2102,Description,infomration,
CAT-2025-0021,ERROR,CONFIRMED_TYPO,Information Products,129,IP-1247,Description,adress,
CAT-2025-0022,ERROR,CONFIRMED_TYPO,Information Products,191,IP-1187,Description,adress,
CAT-2025-0023,ERROR,CONFIRMED_TYPO,Information Products,214,IP-2113,Description,andfunctions,
CAT-2025-0024,ERROR,CONFIRMED_TYPO,Information Products,215,IP-2177,Description,infomration,
CAT-2025-0025,ERROR,CONFIRMED_TYPO,Information Products,240,IP-2093,Description,andfunctions,
CAT-2025-0026,ERROR,CONFIRMED_TYPO,Information Products,241,IP-2140,Description,infomration,
CAT-2025-0027,ERROR,CONFIRMED_TYPO,Information Products,258,IP-2107,Description,andfunctions,
CAT-2025-0028,ERROR,CONFIRMED_TYPO,Information Products,259,IP-2091,Description,infomration,
CAT-2025-0029,ERROR,CONFIRMED_TYPO,Information Products,294,IP-1846,Description,capabilites,
CAT-2025-0030,ERROR,CONFIRMED_TYPO,Information Products,320,IP-2136,Description,andfunctions,
CAT-2025-0031,ERROR,CONFIRMED_TYPO,Information Products,321,IP-2085,Description,infomration,
CAT-2025-0032,ERROR,CONFIRMED_TYPO,Information Products,333,IP-2129,Description,andfunctions,
CAT-2025-0033,ERROR,CONFIRMED_TYPO,Information Products,334,IP-2070,Description,infomration,
CAT-2025-0034,ERROR,CONFIRMED_TYPO,Information Products,347,IP-2162,Description,andfunctions,
CAT-2025-0035,ERROR,CONFIRMED_TYPO,Information Products,348,IP-2151,Description,infomration,
CAT-2025-0036,ERROR,CONFIRMED_TYPO,Information Products,368,IP-2084,Description,andfunctions,
CAT-2025-0037,ERROR,CONFIRMED_TYPO,Information Products,369,IP-2099,Description,infomration,
CAT-2025-0038,ERROR,CONFIRMED_TYPO,Information Products,469,IP-2185,Description,andfunctions,
CAT-2025-0039,ERROR,CONFIRMED_TYPO,Information Products,470,IP-2156,Description,infomration,
CAT-2025-0040,ERROR,CONFIRMED_TYPO,Information Products,487,IP-2095,Description,andfunctions,
CAT-2025-0041,ERROR,CONFIRMED_TYPO,Information Products,490,IP-2194,Description,infomration,
CAT-2025-0042,ERROR,CONFIRMED_TYPO,Information Products,523,IP-2078,Description,andfunctions,
CAT-2025-0043,ERROR,CONFIRMED_TYPO,Information Products,524,IP-2189,Description,infomration,
CAT-2025-0044,ERROR,CONFIRMED_TYPO,Information Products,545,IP-2192,Description,andfunctions,
CAT-2025-0045,ERROR,CONFIRMED_TYPO,Information Products,546,IP-2126,Description,infomration,
CAT-2025-0046,ERROR,CONFIRMED_TYPO,Information Products,586,IP-2124,Description,andfunctions,
CAT-2025-0047,ERROR,CONFIRMED_TYPO,Information Products,587,IP-2139,Description,infomration,
CAT-2025-0048,ERROR,CONFIRMED_TYPO,Information Products,631,IP-2172,Description,andfunctions,
CAT-2025-0049,ERROR,CONFIRMED_TYPO,Information Products,632,IP-2171,Description,infomration,
CAT-2025-0050,ERROR,CONFIRMED_TYPO,Information Products,653,IP-2149,Description,andfunctions,
CAT-2025-0051,ERROR,CONFIRMED_TYPO,Information Products,654,IP-2180,Description,infomration,
CAT-2025-0052,ERROR,CONFIRMED_TYPO,Information Products,682,IP-2166,Description,andfunctions,
CAT-2025-0053,ERROR,CONFIRMED_TYPO,Information Products,683,IP-2196,Description,infomration,
CAT-2025-0054,ERROR,CONFIRMED_TYPO,Information Products,703,IP-2146,Description,andfunctions,
CAT-2025-0055,ERROR,CONFIRMED_TYPO,Information Products,704,IP-2079,Description,infomration,
CAT-2025-0056,ERROR,CONFIRMED_TYPO,Information Products,809,IP-1263,Description,maintaing,
CAT-2025-0057,ERROR,CONFIRMED_TYPO,Information Products,810,IP-1743,Description,responsibiilty,
CAT-2025-0058,ERROR,CONFIRMED_TYPO,Information Products,818,IP-2105,Description,andfunctions,
CAT-2025-0059,ERROR,CONFIRMED_TYPO,Information Products,819,IP-2069,Description,infomration,
CAT-2025-0060,ERROR,CONFIRMED_TYPO,Information Products,850,IP-1176,Description,infomration,
CAT-2025-0061,ERROR,CONFIRMED_TYPO,Information Products,936,IP-1884,Description,infomration,
CAT-2025-0062,ERROR,CONFIRMED_TYPO,Information Products,958,IP-2110,Description,andfunctions,
CAT-2025-0063,ERROR,CONFIRMED_TYPO,Information Products,959,IP-2098,Description,infomration,
CAT-2025-0064,ERROR,CONFIRMED_TYPO,Information Products,966,IP-1889,Description,infomration,
CAT-2025-0065,ERROR,CONFIRMED_TYPO,Information Products,973,IP-1863,Description,Comunications,
CAT-2025-0066,ERROR,CONFIRMED_TYPO,Information Products,1052,IP-1778,Title,Troup Contributing,
CAT-2025-0067,ERROR,DANGLING_PARENT,Information Products,67,IP-1018,Parent,IP-1008,
CAT-2025-0068,ERROR,DANGLING_PARENT,Information Products,144,IP-1021,Parent,IP-1008,
CAT-2025-0069,ERROR,DANGLING_PARENT,Information Products,274,IP-1036,Parent,IP-1003,
CAT-2025-0070,ERROR,DANGLING_PARENT,Information Products,567,IP-1067,Parent,IP-1008,
CAT-2025-0071,ERROR,DANGLING_PARENT,Information Products,792,IP-1080,Parent,IP-1003,
CAT-2025-0072,ERROR,DANGLING_PARENT,Information Products,882,IP-1086,Parent,IP-1008,
CAT-2025-0073,ERROR,DANGLING_PARENT,Information Products,947,IP-1088,Parent,IP-1008,
CAT-2025-0074,ERROR,DANGLING_PARENT,Information Products,1033,IP-1096,Parent,IP-1003,
CAT-2025-0075,ERROR,DECLARED_LEVEL_MISMATCH,Information Products,67,IP-1018,Level,4,IP-1008
CAT-2025-0076,ERROR,DECLARED_LEVEL_MISMATCH,Information Products,144,IP-1021,Level,4,IP-1008
CAT-2025-0077,ERROR,DECLARED_LEVEL_MISMATCH,Information Products,274,IP-1036,Level,4,IP-1003
CAT-2025-0078,ERROR,DECLARED_LEVEL_MISMATCH,Information Products,567,IP-1067,Level,4,IP-1008
CAT-2025-0079,ERROR,DECLARED_LEVEL_MISMATCH,Information Products,792,IP-1080,Level,4,IP-1003
CAT-2025-0080,ERROR,DECLARED_LEVEL_MISMATCH,Information Products,882,IP-1086,Level,4,IP-1008
CAT-2025-0081,ERROR,DECLARED_LEVEL_MISMATCH,Information Products,947,IP-1088,Level,4,IP-1008
CAT-2025-0082,ERROR,DECLARED_LEVEL_MISMATCH,Information Products,1033,IP-1096,Level,4,IP-1003
CAT-2025-0083,ERROR,DUPLICATE_SIBLING_TITLE,Business Roles,270,"BR-1201, BR-1221",Title,stakeholder communication manager,"BR-1201, BR-1221"
CAT-2025-0084,ERROR,IMPLAUSIBLE_LEVEL,Information Products,366,IP-2130,Level,14,IP-2065
CAT-2025-0085,ERROR,IMPLAUSIBLE_LEVEL,Information Products,367,IP-2131,Level,14,IP-2065
CAT-2025-0086,ERROR,IMPLAUSIBLE_LEVEL,Information Products,368,IP-2084,Level,14,IP-2065
CAT-2025-0087,ERROR,IMPLAUSIBLE_LEVEL,Information Products,369,IP-2099,Level,14,IP-2065
CAT-2025-0088,ERROR,IMPLAUSIBLE_LEVEL,Information Products,370,IP-2065,Level,14,IP-2065
CAT-2025-0089,ERROR,SELF_PARENT_CYCLE,Information Products,370,IP-2065,Parent,IP-2065,IP-2065
CAT-2025-0090,ERROR,UNASSIGNED_ROOT_NODE,Information Products,2,IP-1659,Parent,,
CAT-2025-0091,ERROR,UNASSIGNED_ROOT_NODE,Information Products,3,IP-1886,Parent,,
CAT-2025-0092,ERROR,UNASSIGNED_ROOT_NODE,Information Products,4,IP-1244,Parent,,
CAT-2025-0093,ERROR,UNASSIGNED_ROOT_NODE,Information Products,5,IP-1389,Parent,,
CAT-2025-0094,ERROR,UNASSIGNED_ROOT_NODE,Information Products,6,IP-1411,Parent,,
CAT-2025-0095,ERROR,UNASSIGNED_ROOT_NODE,Information Products,7,IP-1322,Parent,,
CAT-2025-0096,ERROR,UNASSIGNED_ROOT_NODE,Information Products,8,IP-1265,Parent,,
CAT-2025-0097,ERROR,UNASSIGNED_ROOT_NODE,Information Products,9,IP-1545,Parent,,
CAT-2025-0098,ERROR,UNASSIGNED_ROOT_NODE,Information Products,10,IP-1538,Parent,,
CAT-2025-0099,ERROR,UNASSIGNED_ROOT_NODE,Information Products,11,IP-1217,Parent,,
CAT-2025-0100,ERROR,UNASSIGNED_ROOT_NODE,Information Products,12,IP-1189,Parent,,
CAT-2025-0101,ERROR,UNASSIGNED_ROOT_NODE,Information Products,13,IP-1354,Parent,,
CAT-2025-0102,ERROR,UNASSIGNED_ROOT_NODE,Information Products,14,IP-1836,Parent,,
CAT-2025-0103,ERROR,UNASSIGNED_ROOT_NODE,Information Products,15,IP-1347,Parent,,
CAT-2025-0104,ERROR,UNASSIGNED_ROOT_NODE,Information Products,16,IP-1388,Parent,,
CAT-2025-0105,ERROR,UNASSIGNED_ROOT_NODE,Information Products,17,IP-1887,Parent,,
CAT-2025-0106,ERROR,UNASSIGNED_ROOT_NODE,Information Products,18,IP-1733,Parent,,
CAT-2025-0107,ERROR,UNASSIGNED_ROOT_NODE,Information Products,19,IP-1968,Parent,,
CAT-2025-0108,ERROR,UNASSIGNED_ROOT_NODE,Information Products,20,IP-1205,Parent,,
CAT-2025-0109,ERROR,UNASSIGNED_ROOT_NODE,Information Products,30,IP-1505,Parent,,
CAT-2025-0110,ERROR,UNASSIGNED_ROOT_NODE,Information Products,31,IP-1353,Parent,,
CAT-2025-0111,ERROR,UNASSIGNED_ROOT_NODE,Information Products,32,IP-1552,Parent,,
CAT-2025-0112,ERROR,UNASSIGNED_ROOT_NODE,Information Products,33,IP-1516,Parent,,
CAT-2025-0113,ERROR,UNASSIGNED_ROOT_NODE,Information Products,34,IP-1864,Parent,,
CAT-2025-0114,ERROR,UNASSIGNED_ROOT_NODE,Information Products,35,IP-1602,Parent,,
CAT-2025-0115,ERROR,UNASSIGNED_ROOT_NODE,Information Products,36,IP-1219,Parent,,
CAT-2025-0116,ERROR,UNASSIGNED_ROOT_NODE,Information Products,37,IP-1313,Parent,,
CAT-2025-0117,ERROR,UNASSIGNED_ROOT_NODE,Information Products,38,IP-1241,Parent,,
CAT-2025-0118,ERROR,UNASSIGNED_ROOT_NODE,Information Products,39,IP-1260,Parent,,
CAT-2025-0119,ERROR,UNASSIGNED_ROOT_NODE,Information Products,40,IP-1300,Parent,,
CAT-2025-0120,ERROR,UNASSIGNED_ROOT_NODE,Information Products,41,IP-1232,Parent,,
CAT-2025-0121,ERROR,UNASSIGNED_ROOT_NODE,Information Products,42,IP-1885,Parent,,
CAT-2025-0122,ERROR,UNASSIGNED_ROOT_NODE,Information Products,43,IP-1942,Parent,,
CAT-2025-0123,ERROR,UNASSIGNED_ROOT_NODE,Information Products,44,IP-1772,Parent,,
CAT-2025-0124,ERROR,UNASSIGNED_ROOT_NODE,Information Products,45,IP-1346,Parent,,
CAT-2025-0125,ERROR,UNASSIGNED_ROOT_NODE,Information Products,46,IP-1852,Parent,,
CAT-2025-0126,ERROR,UNASSIGNED_ROOT_NODE,Information Products,47,IP-1226,Parent,,
CAT-2025-0127,ERROR,UNASSIGNED_ROOT_NODE,Information Products,48,IP-1855,Parent,,
CAT-2025-0128,ERROR,UNASSIGNED_ROOT_NODE,Information Products,49,IP-1740,Parent,,
CAT-2025-0129,ERROR,UNASSIGNED_ROOT_NODE,Information Products,50,IP-1691,Parent,,
CAT-2025-0130,ERROR,UNASSIGNED_ROOT_NODE,Information Products,51,IP-1519,Parent,,
CAT-2025-0131,ERROR,UNASSIGNED_ROOT_NODE,Information Products,52,IP-1497,Parent,,
CAT-2025-0132,ERROR,UNASSIGNED_ROOT_NODE,Information Products,53,IP-1880,Parent,,
CAT-2025-0133,ERROR,UNASSIGNED_ROOT_NODE,Information Products,54,IP-1234,Parent,,
CAT-2025-0134,ERROR,UNASSIGNED_ROOT_NODE,Information Products,55,IP-1663,Parent,,
CAT-2025-0135,ERROR,UNASSIGNED_ROOT_NODE,Information Products,56,IP-1770,Parent,,
CAT-2025-0136,ERROR,UNASSIGNED_ROOT_NODE,Information Products,57,IP-1737,Parent,,
CAT-2025-0137,ERROR,UNASSIGNED_ROOT_NODE,Information Products,58,IP-1406,Parent,,
CAT-2025-0138,ERROR,UNASSIGNED_ROOT_NODE,Information Products,60,IP-1504,Parent,,
CAT-2025-0139,ERROR,UNASSIGNED_ROOT_NODE,Information Products,61,IP-1747,Parent,,
CAT-2025-0140,ERROR,UNASSIGNED_ROOT_NODE,Information Products,62,IP-1901,Parent,,
CAT-2025-0141,ERROR,UNASSIGNED_ROOT_NODE,Information Products,63,IP-1511,Parent,,
CAT-2025-0142,ERROR,UNASSIGNED_ROOT_NODE,Information Products,64,IP-1442,Parent,,
CAT-2025-0143,ERROR,UNASSIGNED_ROOT_NODE,Information Products,65,IP-1475,Parent,,
CAT-2025-0144,ERROR,UNASSIGNED_ROOT_NODE,Information Products,66,IP-1979,Parent,,
CAT-2025-0145,ERROR,UNASSIGNED_ROOT_NODE,Information Products,68,IP-1580,Parent,,
CAT-2025-0146,ERROR,UNASSIGNED_ROOT_NODE,Information Products,69,IP-1872,Parent,,
CAT-2025-0147,ERROR,UNASSIGNED_ROOT_NODE,Information Products,70,IP-1857,Parent,,
CAT-2025-0148,ERROR,UNASSIGNED_ROOT_NODE,Information Products,71,IP-1490,Parent,,
CAT-2025-0149,ERROR,UNASSIGNED_ROOT_NODE,Information Products,72,IP-1485,Parent,,
CAT-2025-0150,ERROR,UNASSIGNED_ROOT_NODE,Information Products,73,IP-1888,Parent,,
CAT-2025-0151,ERROR,UNASSIGNED_ROOT_NODE,Information Products,74,IP-1281,Parent,,
CAT-2025-0152,ERROR,UNASSIGNED_ROOT_NODE,Information Products,75,IP-1920,Parent,,
CAT-2025-0153,ERROR,UNASSIGNED_ROOT_NODE,Information Products,76,IP-1257,Parent,,
CAT-2025-0154,ERROR,UNASSIGNED_ROOT_NODE,Information Products,77,IP-1367,Parent,,
CAT-2025-0155,ERROR,UNASSIGNED_ROOT_NODE,Information Products,78,IP-1758,Parent,,
CAT-2025-0156,ERROR,UNASSIGNED_ROOT_NODE,Information Products,79,IP-1151,Parent,,
CAT-2025-0157,ERROR,UNASSIGNED_ROOT_NODE,Information Products,80,IP-1605,Parent,,
CAT-2025-0158,ERROR,UNASSIGNED_ROOT_NODE,Information Products,81,IP-1249,Parent,,
CAT-2025-0159,ERROR,UNASSIGNED_ROOT_NODE,Information Products,82,IP-1223,Parent,,
CAT-2025-0160,ERROR,UNASSIGNED_ROOT_NODE,Information Products,83,IP-1293,Parent,,
CAT-2025-0161,ERROR,UNASSIGNED_ROOT_NODE,Information Products,84,IP-2013,Parent,,
CAT-2025-0162,ERROR,UNASSIGNED_ROOT_NODE,Information Products,85,IP-1128,Parent,,
CAT-2025-0163,ERROR,UNASSIGNED_ROOT_NODE,Information Products,86,IP-1618,Parent,,
CAT-2025-0164,ERROR,UNASSIGNED_ROOT_NODE,Information Products,87,IP-1131,Parent,,
CAT-2025-0165,ERROR,UNASSIGNED_ROOT_NODE,Information Products,88,IP-1418,Parent,,
CAT-2025-0166,ERROR,UNASSIGNED_ROOT_NODE,Information Products,89,IP-1301,Parent,,
CAT-2025-0167,ERROR,UNASSIGNED_ROOT_NODE,Information Products,90,IP-1703,Parent,,
CAT-2025-0168,ERROR,UNASSIGNED_ROOT_NODE,Information Products,91,IP-1134,Parent,,
CAT-2025-0169,ERROR,UNASSIGNED_ROOT_NODE,Information Products,92,IP-1867,Parent,,
CAT-2025-0170,ERROR,UNASSIGNED_ROOT_NODE,Information Products,93,IP-1900,Parent,,
CAT-2025-0171,ERROR,UNASSIGNED_ROOT_NODE,Information Products,95,IP-1180,Parent,,
CAT-2025-0172,ERROR,UNASSIGNED_ROOT_NODE,Information Products,96,IP-1382,Parent,,
CAT-2025-0173,ERROR,UNASSIGNED_ROOT_NODE,Information Products,97,IP-2020,Parent,,
CAT-2025-0174,ERROR,UNASSIGNED_ROOT_NODE,Information Products,98,IP-1362,Parent,,
CAT-2025-0175,ERROR,UNASSIGNED_ROOT_NODE,Information Products,99,IP-1803,Parent,,
CAT-2025-0176,ERROR,UNASSIGNED_ROOT_NODE,Information Products,100,IP-1539,Parent,,
CAT-2025-0177,ERROR,UNASSIGNED_ROOT_NODE,Information Products,101,IP-1874,Parent,,
CAT-2025-0178,ERROR,UNASSIGNED_ROOT_NODE,Information Products,102,IP-1193,Parent,,
CAT-2025-0179,ERROR,UNASSIGNED_ROOT_NODE,Information Products,103,IP-1203,Parent,,
CAT-2025-0180,ERROR,UNASSIGNED_ROOT_NODE,Information Products,106,IP-1654,Parent,,
CAT-2025-0181,ERROR,UNASSIGNED_ROOT_NODE,Information Products,108,IP-1243,Parent,,
CAT-2025-0182,ERROR,UNASSIGNED_ROOT_NODE,Information Products,109,IP-1323,Parent,,
CAT-2025-0183,ERROR,UNASSIGNED_ROOT_NODE,Information Products,115,IP-1476,Parent,,
CAT-2025-0184,ERROR,UNASSIGNED_ROOT_NODE,Information Products,116,IP-1157,Parent,,
CAT-2025-0185,ERROR,UNASSIGNED_ROOT_NODE,Information Products,117,IP-1787,Parent,,
CAT-2025-0186,ERROR,UNASSIGNED_ROOT_NODE,Information Products,118,IP-1644,Parent,,
CAT-2025-0187,ERROR,UNASSIGNED_ROOT_NODE,Information Products,119,IP-2007,Parent,,
CAT-2025-0188,ERROR,UNASSIGNED_ROOT_NODE,Information Products,120,IP-1246,Parent,,
CAT-2025-0189,ERROR,UNASSIGNED_ROOT_NODE,Information Products,121,IP-1162,Parent,,
CAT-2025-0190,ERROR,UNASSIGNED_ROOT_NODE,Information Products,122,IP-1288,Parent,,
CAT-2025-0191,ERROR,UNASSIGNED_ROOT_NODE,Information Products,123,IP-1871,Parent,,
CAT-2025-0192,ERROR,UNASSIGNED_ROOT_NODE,Information Products,124,IP-1932,Parent,,
CAT-2025-0193,ERROR,UNASSIGNED_ROOT_NODE,Information Products,125,IP-1148,Parent,,
CAT-2025-0194,ERROR,UNASSIGNED_ROOT_NODE,Information Products,127,IP-1924,Parent,,
CAT-2025-0195,ERROR,UNASSIGNED_ROOT_NODE,Information Products,128,IP-1276,Parent,,
CAT-2025-0196,ERROR,UNASSIGNED_ROOT_NODE,Information Products,129,IP-1247,Parent,,
CAT-2025-0197,ERROR,UNASSIGNED_ROOT_NODE,Information Products,130,IP-1695,Parent,,
CAT-2025-0198,ERROR,UNASSIGNED_ROOT_NODE,Information Products,131,IP-1878,Parent,,
CAT-2025-0199,ERROR,UNASSIGNED_ROOT_NODE,Information Products,132,IP-1719,Parent,,
CAT-2025-0200,ERROR,UNASSIGNED_ROOT_NODE,Information Products,133,IP-1139,Parent,,
CAT-2025-0201,ERROR,UNASSIGNED_ROOT_NODE,Information Products,134,IP-1667,Parent,,
CAT-2025-0202,ERROR,UNASSIGNED_ROOT_NODE,Information Products,135,IP-1186,Parent,,
CAT-2025-0203,ERROR,UNASSIGNED_ROOT_NODE,Information Products,136,IP-1786,Parent,,
CAT-2025-0204,ERROR,UNASSIGNED_ROOT_NODE,Information Products,137,IP-1673,Parent,,
CAT-2025-0205,ERROR,UNASSIGNED_ROOT_NODE,Information Products,138,IP-1945,Parent,,
CAT-2025-0206,ERROR,UNASSIGNED_ROOT_NODE,Information Products,139,IP-1936,Parent,,
CAT-2025-0207,ERROR,UNASSIGNED_ROOT_NODE,Information Products,140,IP-1756,Parent,,
CAT-2025-0208,ERROR,UNASSIGNED_ROOT_NODE,Information Products,141,IP-1981,Parent,,
CAT-2025-0209,ERROR,UNASSIGNED_ROOT_NODE,Information Products,142,IP-1696,Parent,,
CAT-2025-0210,ERROR,UNASSIGNED_ROOT_NODE,Information Products,143,IP-1894,Parent,,
CAT-2025-0211,ERROR,UNASSIGNED_ROOT_NODE,Information Products,145,IP-1341,Parent,,
CAT-2025-0212,ERROR,UNASSIGNED_ROOT_NODE,Information Products,146,IP-1883,Parent,,
CAT-2025-0213,ERROR,UNASSIGNED_ROOT_NODE,Information Products,147,IP-1853,Parent,,
CAT-2025-0214,ERROR,UNASSIGNED_ROOT_NODE,Information Products,148,IP-1540,Parent,,
CAT-2025-0215,ERROR,UNASSIGNED_ROOT_NODE,Information Products,149,IP-1906,Parent,,
CAT-2025-0216,ERROR,UNASSIGNED_ROOT_NODE,Information Products,150,IP-2001,Parent,,
CAT-2025-0217,ERROR,UNASSIGNED_ROOT_NODE,Information Products,151,IP-1177,Parent,,
CAT-2025-0218,ERROR,UNASSIGNED_ROOT_NODE,Information Products,152,IP-1495,Parent,,
CAT-2025-0219,ERROR,UNASSIGNED_ROOT_NODE,Information Products,153,IP-1890,Parent,,
CAT-2025-0220,ERROR,UNASSIGNED_ROOT_NODE,Information Products,154,IP-1725,Parent,,
CAT-2025-0221,ERROR,UNASSIGNED_ROOT_NODE,Information Products,155,IP-1285,Parent,,
CAT-2025-0222,ERROR,UNASSIGNED_ROOT_NODE,Information Products,156,IP-1908,Parent,,
CAT-2025-0223,ERROR,UNASSIGNED_ROOT_NODE,Information Products,157,IP-1224,Parent,,
